palette_name,primary,secondary,accent,neutral,notes
SaaS Professional,#2563EB,#1E40AF,#10B981,#F1F5F9,Blue primary with green accent. High trust.
Fintech Dark,#0F172A,#1E293B,#22C55E,#334155,Dark mode with emerald accent. Premium feel.
Healthcare Clean,#FFFFFF,#F8FAFC,#0EA5E9,#E2E8F0,White dominant with sky blue. Clinical trust.
Beauty Soft,#FDF2F8,#FCE7F3,#EC4899,#F3F4F6,Soft pink with rose accent. Elegant and feminine.
Ecommerce Bold,#FF6B35,#F7C59F,#2EC4B6,#FFF8F0,Orange primary with teal accent. High energy.
Minimal Slate,#0F172A,#475569,#94A3B8,#F8FAFC,Slate monochrome. Sophisticated.
Nature Wellness,#166534,#15803D,#84CC16,#F0FDF4,Forest green with lime accent. Organic.
Luxury Gold,#1C1917,#44403C,#D97706,#FAFAF9,Warm stone with amber gold. Premium.
Education Bright,#3B82F6,#6366F1,#F59E0B,#FEF3C7,Blue primary with amber accent. Friendly.
Dark Mode Glass,#111827,#1F2937,#8B5CF6,#374151,Deep dark with purple glow. Modern.
